1045 - loss: 0.42652091979980467, val_loss: 0.44202920794487
1046 - loss: 0.4289905369281769, val_loss: 0.43865530490875243
1047 - loss: 0.4306095540523529, val_loss: 0.4373107016086578
1056 - loss: 0.43638227581977845, val_loss: 0.4369876146316528
1057 - loss: 0.43379181027412417, val_loss: 0.4352171063423157
1066 - loss: 0.4175977647304535, val_loss: 0.4304172217845917
1112 - loss: 0.4215238869190216, val_loss: 0.42996424436569214
1127 - loss: 0.4211504966020584, val_loss: 0.4286616861820221
1130 - loss: 0.4215965628623962, val_loss: 0.42509286999702456
1136 - loss: 0.4245189636945724, val_loss: 0.4163359224796295
1187 - loss: 0.4124253332614899, val_loss: 0.41096278429031374
1227 - loss: 0.3985317498445511, val_loss: 0.409539133310318
1260 - loss: 0.3937538623809814, val_loss: 0.408754363656044
1264 - loss: 0.3953649938106537, val_loss: 0.40509034395217897
1265 - loss: 0.3936906486749649, val_loss: 0.4049358069896698
1275 - loss: 0.4026207268238068, val_loss: 0.4027314692735672
1284 - loss: 0.4026043862104416, val_loss: 0.40011048018932344
1315 - loss: 0.39492467045783997, val_loss: 0.3977504730224609
1327 - loss: 0.3990470230579376, val_loss: 0.3966882169246674
1365 - loss: 0.3906031966209412, val_loss: 0.3857053130865097
1483 - loss: 0.3901541203260422, val_loss: 0.3820303201675415
1535 - loss: 0.36331715285778043, val_loss: 0.37931813597679137
1544 - loss: 0.3734480708837509, val_loss: 0.37611686885356904
1584 - loss: 0.36185419261455537, val_loss: 0.3718150436878204
1631 - loss: 0.35191370248794557, val_loss: 0.3681627184152603
1652 - loss: 0.36441885232925414, val_loss: 0.36601505875587464
1661 - loss: 0.36693201065063474, val_loss: 0.36293138563632965
1683 - loss: 0.348404723405838, val_loss: 0.3613438904285431
1697 - loss: 0.35991171002388, val_loss: 0.35971579551696775
1741 - loss: 0.349919530749321, val_loss: 0.3479548811912537
1803 - loss: 0.35421513915061953, val_loss: 0.3475603461265564
1846 - loss: 0.3530538439750671, val_loss: 0.3451628863811493
1888 - loss: 0.3407421737909317, val_loss: 0.34094485342502595
2024 - loss: 0.3338350534439087, val_loss: 0.33454937040805816
2047 - loss: 0.33107157349586486, val_loss: 0.33002470135688783
2089 - loss: 0.31934772729873656, val_loss: 0.32999015748500826
2128 - loss: 0.3166317492723465, val_loss: 0.3278018355369568
2191 - loss: 0.31151543855667113, val_loss: 0.3256242245435715
2211 - loss: 0.3213741689920425, val_loss: 0.3140987575054169
2214 - loss: 0.31381361186504364, val_loss: 0.31257211565971377
2258 - loss: 0.30077839493751524, val_loss: 0.31208244264125823
2340 - loss: 0.3078624039888382, val_loss: 0.31144691705703736
2362 - loss: 0.3023345321416855, val_loss: 0.30655733942985536
2524 - loss: 0.2884405255317688, val_loss: 0.304531654715538
2629 - loss: 0.29725086092948916, val_loss: 0.30056368112564086
2728 - loss: 0.2915328457951546, val_loss: 0.2986663430929184
2783 - loss: 0.28793947398662567, val_loss: 0.29637899398803713
2843 - loss: 0.2671176165342331, val_loss: 0.29079141914844514
2876 - loss: 0.26509869694709776, val_loss: 0.28920016884803773
2901 - loss: 0.27146542966365816, val_loss: 0.2855774909257889
2907 - loss: 0.26906979978084566, val_loss: 0.281846821308136
3117 - loss: 0.27708943784236906, val_loss: 0.27846886217594147
3240 - loss: 0.2584892466664314, val_loss: 0.2671750396490097
3399 - loss: 0.2620593950152397, val_loss: 0.26310704946517943
3465 - loss: 0.25536700934171674, val_loss: 0.261497800052166
3632 - loss: 0.2485451176762581, val_loss: 0.2537229537963867
3961 - loss: 0.2560190349817276, val_loss: 0.24816180616617203
4102 - loss: 0.2531585842370987, val_loss: 0.24783172309398652
4231 - loss: 0.23375996500253676, val_loss: 0.24709906727075576
4386 - loss: 0.24392608255147935, val_loss: 0.24212429523468018
4796 - loss: 0.22390394806861877, val_loss: 0.2418406441807747
4815 - loss: 0.23051725327968597, val_loss: 0.23923107385635375
4880 - loss: 0.22061612010002135, val_loss: 0.2338749051094055
4981 - loss: 0.22370655387639998, val_loss: 0.2281798928976059
5194 - loss: 0.2301286906003952, val_loss: 0.22587181329727174
5350 - loss: 0.2403401553630829, val_loss: 0.22527976483106613
5660 - loss: 0.2185241997241974, val_loss: 0.21569491773843766
5671 - loss: 0.22102234810590743, val_loss: 0.21140591353178023
6390 - loss: 0.2379438564181328, val_loss: 0.2075977325439453
6562 - loss: 0.213343445956707, val_loss: 0.2072569563984871
7539 - loss: 0.20876065492630005, val_loss: 0.20652252584695815
7554 - loss: 0.19063881784677505, val_loss: 0.20648600459098815
8415 - loss: 0.20529197603464128, val_loss: 0.2035370260477066
8629 - loss: 0.21020382791757583, val_loss: 0.1978466510772705
8727 - loss: 0.22149377912282944, val_loss: 0.19680834114551543
8988 - loss: 0.20207374095916747, val_loss: 0.18575456589460373
12257 - loss: 0.19592303037643433, val_loss: 0.18548219799995422
